"ModelID","SampleID","CompoundName","CompoundID","EC50","LowerAsymptote","UpperAsymptote","Slope","MinimumDose","MaximumDose","DoseUnit","CellLineName","StrippedCellLineName","DepmapModelType","TargetOrMechanism","GeneSymbolOfTargets"
"ACH-001336","GDSC2:1085","284461-73-0","DPC-000083",9.32311840778352,0.493427683545979,1.01,-12.6610127892282,0.0100052698506632,10,"uM","Ca Ski","CASKI","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001341","GDSC2:1085","284461-73-0","DPC-000083",3.25491485071262,0.643464841640762,1.01,-13.3444951669952,0.0100052698506632,10,"uM","DoTc2 4510","DOTC24510","MCCE","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001525","GDSC2:1085","284461-73-0","DPC-000083",1.16293223700259,0.584501024381283,1.01,-16.366310359701,0.0100052698506632,10,"uM","HT-3","HT3","CEAD","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001086","GDSC2:1085","284461-73-0","DPC-000083",7.17523933387034,0.0788309973359607,1.01,-1.62737969653156,0.0100052698506632,10,"uM","HeLa","HELA","ECAD","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001359","GDSC2:1085","284461-73-0","DPC-000083",2.79092902940703,0.541404100211469,1.01,-14.1558294831936,0.0100052698506632,10,"uM","ME-180","ME180","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001360","GDSC2:1085","284461-73-0","DPC-000083",6.71546667485593,0.292755465364511,1.01,-1.52822791217319,0.0100052698506632,10,"uM","MS751","MS751","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-000129","GDSC2:1085","284461-73-0","DPC-000083",3.3280677264609,0.284483936927124,1.01,-11.288292130202,0.0100052698506632,10,"uM","NCI-H1341","NCIH1341","SCNEC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-002180","GDSC2:1085","284461-73-0","DPC-000083",4.08727288790753,0.405131385216688,0.972267994518116,-10.6743927929514,0.0100052698506632,10,"uM","OMC-1","OMC1","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-000556","GDSC2:1085","284461-73-0","DPC-000083",3.22579362007514,0.456059770343441,1.01,-13.9574243281322,0.0100052698506632,10,"uM","SIHA","SIHA","CESC","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
"ACH-001650","GDSC2:1085","284461-73-0","DPC-000083",9.70871736191201,0,1.01,-1.78050728176566,0.0100052698506632,10,"uM","SISO","SISO","CEAD","FLT3 INHIBITOR, KIT INHIBITOR, PDGFR TYROSINE KINASE RECEPTOR INHIBITOR, RAF INHIBITOR, RET TYROSINE KINASE INHIBITOR, VEGFR INHIBITOR","BRAF;DDR2;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRB;RAF1;RET"
